"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.996697901462459"	"0.86032040139173"	"0.857566395656647"	"0.496446185451052"	"0.127510970967131"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.590257122342229"	"0.590257122342229"	"1.15850255665035e-34"	"2.09688962753714e-32"
"X..280660"	"?|280660"	"1"	"1"	"0.89863753246111"	"0.89863753246111"	"2.01213822557642e-53"	"3.64197018829332e-51"
"X..390284"	"?|390284"	"0.518500968472791"	"0.550854457931686"	"0.603200197781094"	"0.48694849031485"	"0.00174527397207749"	"0.315894588946025"
"X..645851"	"?|645851"	"0.440565297090649"	"0.87337070859427"	"0.978034666781183"	"0.659852601481826"	"0.040121160963929"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"1"	"1"	"0.868207970133878"	"0.918440152981867"	"5.57449849935064e-12"	"1.00898422838247e-09"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.425118729216673"	"0.425118729216673"	"2.24933685375979e-41"	"4.07129970530522e-39"
"A2LD1.87769"	"A2LD1|87769"	"0.730761842542805"	"0.490495891220212"	"0.730761842542805"	"0.420113287923995"	"0.00492280426546733"	"0.891027572049586"
"AAAS.8086"	"AAAS|8086"	"0.338538383146059"	"0.355389950308087"	"0.332799392854057"	"0.556341076173432"	"0.0360234123082466"	"1"
"AAMP.14"	"AAMP|14"	"0.110015712100837"	"0.288574296725654"	"0.367264669437505"	"0.229493648402143"	"0.0424405000663479"	"1"
"AATF.26574"	"AATF|26574"	"0.141561669760895"	"0.662839491410332"	"0.183458608526774"	"0.394743827141482"	"0.0959615711817773"	"1"
"AATK.9625"	"AATK|9625"	"0.974114222429358"	"0.447847249944948"	"0.341118099787566"	"0.550804967886093"	"0.0111153445778163"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.780897697854424"	"0.724850698717797"	"0.946241049266845"	"0.701835266235072"	"0.181239389934316"	"1"
"ABCA4.24"	"ABCA4|24"	"0.762972045306844"	"0.827258234959198"	"0.970078575383984"	"0.792763170130981"	"0.246802263758487"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.804009632647629"	"0.387860977659269"	"0.897315124799084"	"0.392749179422514"	"0.0830495385834974"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.102928629734997"	"0.234827714696831"	"0.145023823775373"	"0.286964731134194"	"0.0232445715705089"	"1"
"ABCB5.340273"	"ABCB5|340273"	"0.21516750802533"	"0.31752935255306"	"0.0311323607225847"	"0.408257093407307"	"0.000752873283553023"	"0.136270064323097"
"ABCC10.89845"	"ABCC10|89845"	"0.246426134811988"	"0.16598797358136"	"0.540541569221209"	"0.0982679278693971"	"0.0071367091006289"	"1"
"ABCC11.85320"	"ABCC11|85320"	"0.428865687051296"	"0.162637242286314"	"0.0531478754219726"	"0.268662688827415"	"0.00439811578126131"	"0.796058956408297"
"ABCC1.4363"	"ABCC1|4363"	"0.480353125356079"	"0.194426717332239"	"0.393649253016244"	"0.912817516386256"	"0.0323602282005364"	"1"
"ABCC5.10057"	"ABCC5|10057"	"0.392605372246365"	"0.786855385854545"	"0.276116219695134"	"0.565227352729175"	"0.0194096392187195"	"1"
"ABCC6P1.653190"	"ABCC6P1|653190"	"1"	"1"	"0.160880119732688"	"0.294196586447444"	"1.11883092583366e-12"	"2.02508397575892e-10"
"ABCD2.225"	"ABCD2|225"	"0.124313176584343"	"0.233002257378805"	"0.188165216157336"	"0.603017893791396"	"0.0361114982391292"	"1"
"ABCD4.5826"	"ABCD4|5826"	"0.950773535659624"	"0.604848935304947"	"0.62291039177387"	"0.653207293657721"	"0.0819148139253268"	"1"
"ABCF1.23"	"ABCF1|23"	"0.497201468780558"	"0.93361709421428"	"0.72332406338574"	"0.841920194055683"	"0.0722718966355516"	"1"
"ABCF3.55324"	"ABCF3|55324"	"0.269351583681408"	"0.705694781136022"	"0.230875210464902"	"0.769250682489282"	"0.0269320996101253"	"1"
"ABHD14A.25864"	"ABHD14A|25864"	"0.462679360338367"	"0.337859265890001"	"0.680676672313617"	"0.924446950708179"	"0.0143088557169951"	"1"
"ABHD15.116236"	"ABHD15|116236"	"0.227570039394864"	"0.59684075769314"	"0.504808542867725"	"0.919397795030123"	"0.128152397709984"	"1"
"ABHD4.63874"	"ABHD4|63874"	"0.569539876093537"	"0.277213841542809"	"0.660397274029023"	"0.283165742909676"	"0.0451336684092235"	"1"
"ABI3BP.25890"	"ABI3BP|25890"	"0.0932380553794451"	"0.201431588323638"	"0.0330377039173111"	"0.13321154257925"	"0.00206304279688994"	"0.373410746237079"
"ABI3.51225"	"ABI3|51225"	"0.155362408625331"	"0.00838759838854797"	"0.0736802716738572"	"0.493550694239673"	"0.00788773641488584"	"1"
"ABRA.137735"	"ABRA|137735"	"0.330052012020712"	"0.164386959832726"	"0.100656440610838"	"0.35503250788304"	"0.017991476855195"	"1"
"ACAA2.10449"	"ACAA2|10449"	"0.284754845619427"	"0.168224334364594"	"0.177241099087574"	"0.0709226396684702"	"0.00482273938278791"	"0.872915828284611"
"ACACA.31"	"ACACA|31"	"0.845565084730212"	"0.261587491055925"	"0.276759751297326"	"0.0776506791795951"	"0.0121135085205708"	"1"
"ACADSB.36"	"ACADSB|36"	"0.878336593575416"	"0.645144953315071"	"0.772583613021736"	"0.997641449541514"	"0.0111979926270412"	"1"
"ACAP2.23527"	"ACAP2|23527"	"0.037074343062094"	"0.0248170474219325"	"0.0642386092904733"	"0.0352587002820844"	"0.00405378404896169"	"0.733734912862067"
"ACAT2.39"	"ACAT2|39"	"0.0450318951786006"	"0.302832896170738"	"0.121293990811147"	"0.365422837429853"	"0.0165621656811364"	"1"
"ACBD5.91452"	"ACBD5|91452"	"0.715434633402978"	"0.764063888566605"	"0.625143436870887"	"0.34592931751031"	"0.0332463752515908"	"1"
"ACBD7.414149"	"ACBD7|414149"	"0.463193754319242"	"0.660430630536482"	"0.294222706585256"	"0.685352953822648"	"0.0175737854322029"	"1"
"ACCN1.40"	"ACCN1|40"	"0.0208653683227608"	"0.118102322472893"	"0.0208653683227608"	"0.3220102340422"	"0.00495680519937021"	"0.897181741086009"
"ACCS.84680"	"ACCS|84680"	"0.0624999435389533"	"0.296138097010116"	"0.187288918804509"	"0.0696967353905692"	"0.00726858080049164"	"1"
"ACER1.125981"	"ACER1|125981"	"0.675885438283951"	"0.387838073430209"	"0.308814428740992"	"0.198697515507821"	"0.0310270032635692"	"1"
"ACER3.55331"	"ACER3|55331"	"0.883467793243619"	"0.526854547843752"	"0.892925398128994"	"0.598229715315205"	"0.0189117243231464"	"1"
"ACHE.43"	"ACHE|43"	"0.2964374327801"	"0.299283433397359"	"0.502962107778854"	"0.546092216202201"	"0.0512309697865765"	"1"
"ACIN1.22985"	"ACIN1|22985"	"0.239029883201498"	"0.65490717114148"	"0.960077320210971"	"0.977432570543103"	"0.0838092981151693"	"1"
"ACLY.47"	"ACLY|47"	"0.976774970929439"	"0.79135481659886"	"0.976774970929439"	"0.606003886012022"	"0.0629439086022235"	"1"
"ACOT12.134526"	"ACOT12|134526"	"0.305597480534797"	"0.38730262690787"	"0.090016627983929"	"0.0859177195289985"	"4.5394446813776e-19"	"8.21639487329346e-17"
"ACOT6.641372"	"ACOT6|641372"	"0.902231236873641"	"0.434607587813182"	"0.622966922862052"	"0.624982441766884"	"5.16864827008404e-13"	"9.3552533688521e-11"
"ACOT7.11332"	"ACOT7|11332"	"0.502463371496424"	"0.716076816604767"	"0.272809207073466"	"0.361717875126808"	"0.0324661341951594"	"1"
"ACOX1.51"	"ACOX1|51"	"0.896901886779057"	"0.678047740507647"	"0.946322826468962"	"0.840102659352685"	"0.181354260621592"	"1"
"ACSL6.23305"	"ACSL6|23305"	"0.205097371570787"	"0.262245362067478"	"0.1708885629523"	"0.305040885056891"	"0.0892733483462768"	"1"
"ACSS3.79611"	"ACSS3|79611"	"0.308565259685016"	"0.0239294979869419"	"0.0628669873942348"	"0.0712776026284964"	"0.00599062312443071"	"1"
"ACTA2.59"	"ACTA2|59"	"0.232321425546549"	"0.0747946107220211"	"0.764625384088638"	"0.208363734428718"	"0.0392764384685502"	"1"
"ACTC1.70"	"ACTC1|70"	"0.405656896929117"	"0.0227556453440424"	"0.0329424521726078"	"0.0138225115658284"	"0.000306034063567264"	"0.0553921655056748"
"ACTL7A.10881"	"ACTL7A|10881"	"1"	"1"	"0.0915959197614139"	"0.0915959197614139"	"2.20030441306647e-48"	"3.98255098765031e-46"
"ACTN2.88"	"ACTN2|88"	"0.387572617247337"	"0.751171339790165"	"0.546998995804443"	"0.596727436206597"	"0.0301846291485262"	"1"
"ACTR3.10096"	"ACTR3|10096"	"0.782124406492858"	"0.642646013435368"	"0.824652066988567"	"0.782135465948235"	"0.083886725930002"	"1"
"ACVR2B.93"	"ACVR2B|93"	"0.401977468008421"	"0.222033455071923"	"0.28650406886702"	"0.1186446929287"	"0.0225058939399728"	"1"
"ACVRL1.94"	"ACVRL1|94"	"0.0345041376470587"	"0.0262671662264751"	"0.0345041376470587"	"0.0183191716597524"	"0.00224046427045692"	"0.405524032952702"
"ACY3.91703"	"ACY3|91703"	"0.800002372920761"	"0.610356128955095"	"0.152125922228542"	"0.67439075135889"	"0.10568620119708"	"1"
"ADAD2.161931"	"ADAD2|161931"	"0.682576689370283"	"0.576430241249625"	"0.985894941537841"	"0.685150838164213"	"0.0678869307575369"	"1"
"ADAM19.8728"	"ADAM19|8728"	"0.0762180691691112"	"0.0336601545717246"	"0.0464603344113161"	"0.12660035185282"	"0.016659184657195"	"1"
"ADAM20.8748"	"ADAM20|8748"	"0.646136387660057"	"0.604113314458103"	"0.646136387660057"	"0.596960022651382"	"0.00201171045950472"	"0.364119593170355"
"ADAM7.8756"	"ADAM7|8756"	"1"	"1"	"0.0583340723460988"	"0.0583340723460988"	"7.42490726794431e-47"	"1.34390821549792e-44"
"ADAM9.8754"	"ADAM9|8754"	"0.484909476091233"	"0.147969504451722"	"0.378522800907379"	"0.276571352751317"	"0.00717699205221458"	"1"
"ADAMTS10.81794"	"ADAMTS10|81794"	"0.738335744897808"	"0.150174254642379"	"0.04539383092817"	"0.18275594179511"	"0.0298971279840807"	"1"
"ADAMTS14.140766"	"ADAMTS14|140766"	"0.137286049358127"	"0.0255554962071176"	"0.118409771375573"	"0.0653962324961485"	"0.00335076327220358"	"0.606488152268848"
"ADAMTS17.170691"	"ADAMTS17|170691"	"0.579635105070001"	"0.91227491272806"	"0.621233755954519"	"0.658486278758279"	"0.0883767053578384"	"1"
"ADAMTS18.170692"	"ADAMTS18|170692"	"0.631174367864285"	"0.437521603586033"	"0.453365696097921"	"0.625935835558921"	"0.0470594107202101"	"1"
"ADAMTS20.80070"	"ADAMTS20|80070"	"0.568219757539872"	"0.872568073029198"	"0.853944001408446"	"0.725771721692853"	"0.0404285855931405"	"1"
"ADAMTS4.9507"	"ADAMTS4|9507"	"0.624514467338503"	"0.537804242170615"	"0.525580027799073"	"0.473381407644914"	"0.155417127785473"	"1"
"ADAMTS7.11173"	"ADAMTS7|11173"	"0.766890807439023"	"0.907951639832544"	"0.425480655085533"	"0.453195313959372"	"0.0965503810640328"	"1"
"ADAMTSL2.9719"	"ADAMTSL2|9719"	"0.626226860651068"	"0.416358707968075"	"0.122884119758891"	"0.357580268305171"	"0.105719135619626"	"1"
"ADAMTSL5.339366"	"ADAMTSL5|339366"	"0.938847269286633"	"0.37357487939371"	"0.342675960187353"	"0.320085326392268"	"0.012983892478765"	"1"
"ADAP2.55803"	"ADAP2|55803"	"0.878892180474033"	"0.30594377329087"	"0.821829955320382"	"0.682009344749668"	"0.00286310163050929"	"0.518221395122181"
"ADAT3.113179"	"ADAT3|113179"	"0.444164556727515"	"0.448004267514002"	"0.0773105170239459"	"0.782993726677779"	"0.0197748583539577"	"1"
"ADCK5.203054"	"ADCK5|203054"	"0.507840535857617"	"0.903683144934246"	"0.696801813328473"	"0.477915162032996"	"0.0567496649035142"	"1"
"ADCY1.107"	"ADCY1|107"	"1.18474702488395e-06"	"3.65318427730799e-08"	"5.89471848132348e-10"	"6.08606972205784e-11"	"1.46903826120721e-12"	"2.65895925278505e-10"
"ADCY2.108"	"ADCY2|108"	"0.00271821569829164"	"0.00345605439309615"	"0.00271821569829164"	"0.00651191134805328"	"0.000147854951870117"	"0.0267617462884911"
"ADCY5.111"	"ADCY5|111"	"0.911819065498295"	"0.433937731671372"	"0.970311416546584"	"0.398208583601026"	"0.0670707800397299"	"1"
"ADCY7.113"	"ADCY7|113"	"0.780626481612808"	"0.65602806900953"	"0.601700461124634"	"0.657755530878925"	"0.0842536342694929"	"1"
"ADCY8.114"	"ADCY8|114"	"0.864791006390006"	"0.527439498882339"	"0.487868098880616"	"0.889765962102146"	"0.0896831708541816"	"1"
"ADIPOR2.79602"	"ADIPOR2|79602"	"0.363173698652509"	"0.580684235925084"	"0.426178191141729"	"0.493920649753281"	"0.0233832508321219"	"1"
"ADORA2A.135"	"ADORA2A|135"	"0.74058396351287"	"0.708033234618797"	"0.505230617494408"	"0.722933476917758"	"0.146441374728993"	"1"
"ADPRHL1.113622"	"ADPRHL1|113622"	"0.237110604547707"	"0.921171145682984"	"0.328110584340042"	"0.821004111119643"	"0.0354903272692709"	"1"
"ADPRH.141"	"ADPRH|141"	"0.185579782871914"	"0.0278499030826347"	"0.190183067927521"	"0.0484505353433096"	"0.00842159452612816"	"1"
"ADRM1.11047"	"ADRM1|11047"	"0.312035457148137"	"0.557298312935311"	"0.435173162004474"	"0.971908369155162"	"0.204145745087226"	"1"
"ADSS.159"	"ADSS|159"	"0.88211040958965"	"0.372448881729217"	"0.978442482799462"	"0.390399949291297"	"0.0623793377939528"	"1"
"AEBP1.165"	"AEBP1|165"	"0.0785832341473857"	"0.0147418379216727"	"0.0305137974957458"	"0.034018465118339"	"0.00145790475195681"	"0.263880760104182"
