"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"X..10357"	"?|10357"	"0.966333661379415"	"0.675945502752756"	"0.591148859751127"	"0.497326248578052"	"0.0865280858835322"	"1"
"X..26823"	"?|26823"	"1"	"1"	"0.590257122342229"	"0.590257122342229"	"1.15850255665035e-34"	"2.09688962753714e-32"
"X..280660"	"?|280660"	"1"	"1"	"0.89863753246111"	"0.89863753246111"	"2.01213822557642e-53"	"3.64197018829332e-51"
"X..390284"	"?|390284"	"0.298992559319357"	"0.795838262454586"	"0.864273134262043"	"0.821616740664722"	"0.000251752112480773"	"0.0455671323590199"
"X..645851"	"?|645851"	"0.365959011628153"	"0.484483275276837"	"0.410665702317804"	"0.224021557726111"	"0.0533067285226382"	"1"
"X..728603"	"?|728603"	"1"	"1"	"1"	"1"	"2.84027564965341e-55"	"5.14089892587267e-53"
"X..728788"	"?|728788"	"1"	"1"	"0.598547763811907"	"0.598547763811907"	"5.68667496197111e-27"	"1.02928816811677e-24"
"A1CF.29974"	"A1CF|29974"	"1"	"1"	"0.425118729216673"	"0.425118729216673"	"2.24933685375979e-41"	"4.07129970530522e-39"
"A2LD1.87769"	"A2LD1|87769"	"0.0973208383028507"	"0.369169408685546"	"0.922609942633706"	"0.934013043306523"	"0.00230519017287997"	"0.417239421291275"
"AAAS.8086"	"AAAS|8086"	"0.373672491546686"	"0.362861329658312"	"0.303927288918528"	"0.604560074385473"	"0.00643183462198346"	"1"
"AAMP.14"	"AAMP|14"	"0.521718126138282"	"0.504377894415339"	"0.772635288011142"	"0.355351495149445"	"0.232354459230878"	"1"
"AATF.26574"	"AATF|26574"	"0.482660660572592"	"0.82571535572301"	"0.322631896322393"	"0.719487278867008"	"0.23747813886991"	"1"
"AATK.9625"	"AATK|9625"	"0.802284133156868"	"0.489842117116623"	"0.740701747387673"	"0.480171038276341"	"0.0728319163628623"	"1"
"ABCA11P.79963"	"ABCA11P|79963"	"0.325654671082325"	"0.73643093694885"	"0.695128444386856"	"0.766589330947173"	"0.0630189333974956"	"1"
"ABCA4.24"	"ABCA4|24"	"0.442901719255101"	"0.797058326322308"	"0.958749062348413"	"0.865025331522763"	"0.0759575913109567"	"1"
"ABCB10.23456"	"ABCB10|23456"	"0.455395932746364"	"0.218945035561071"	"0.692136929718919"	"0.636469946146742"	"0.0573092743418412"	"1"
"ABCB1.5243"	"ABCB1|5243"	"0.58048560413329"	"0.110168460988686"	"0.428769483704311"	"0.103807148780288"	"0.0182251320512078"	"1"
"ABCB5.340273"	"ABCB5|340273"	"1"	"1"	"0.525582884392682"	"0.742640916463725"	"5.57449849935064e-12"	"1.00898422838247e-09"
"ABCC10.89845"	"ABCC10|89845"	"0.933430086750951"	"0.188154289224845"	"0.613292606352971"	"0.334021257816073"	"0.00420596689578405"	"0.761280008136913"
"ABCC11.85320"	"ABCC11|85320"	"0.25035097608916"	"0.073215588874575"	"0.114337132836199"	"0.0785332363029354"	"0.000441366448970797"	"0.0798873272637142"
"ABCC1.4363"	"ABCC1|4363"	"0.601318042524918"	"0.693839986000237"	"0.473493864353813"	"0.597044934402388"	"0.037796079773149"	"1"
"ABCC5.10057"	"ABCC5|10057"	"0.814031771505725"	"0.738933142606906"	"0.830724575445519"	"0.833276577798667"	"0.0114228749270839"	"1"
