"Km.Scan.P.Value"	"Km.Scan.Adj.P.Value"	"Qcut50.P.Value"	"Qcut2575.P.Value"	"Zcut1.P.Value"
"ALB"	"0.0303860804264106"	"1"	"0.66181002954469"	"0.108780834956114"	"1"
"GC"	"0.00663119726924652"	"0.537126978808968"	"0.767922452595057"	"0.326716228280939"	"1"
"IGFBP1"	"0.0185678066188357"	"1"	"0.382020408578817"	"0.310054834957674"	"1"
"APOH"	"0.01959731390586"	"1"	"0.204005952003901"	"0.475187413506227"	"1"
"FGG"	"0.0453902239091937"	"1"	"0.859968326307186"	"0.422464925850431"	"1"
"UGT2B4"	"0.00321615779708605"	"0.26050878156397"	"0.202350232285805"	"0.039140341997553"	"1"
"APOB"	"0.0485559051599188"	"1"	"0.80441151942144"	"0.52835113740412"	"1"
"NHLH2"	"7.62822847892093e-05"	"0.00617886506792595"	"0.00200560479764161"	"9.06278897058178e-05"	"1"
"XIST"	"0.013660458283423"	"1"	"0.796815640360375"	"0.881421433057721"	"1"
"PCK1"	"0.0303603018794704"	"1"	"0.872842873741462"	"0.258164072400959"	"1"
"APOA2"	"0.0128757121112648"	"1"	"0.76437304194824"	"0.130683929458502"	"1"
"CPB2"	"0.0209612172583259"	"1"	"0.78439480639929"	"0.29849978877113"	"1"
"RBP4"	"0.0485559051599188"	"1"	"0.707886434785414"	"0.371215333701697"	"1"
"FGB"	"0.0464752881894703"	"1"	"0.172425969685373"	"0.276606717059449"	"1"
"C9"	"0.067243331544556"	"1"	"0.219079292213785"	"0.219636327531051"	"1"
"ARG1"	"0.0371941037442842"	"1"	"0.0786765243878401"	"0.0570659931674635"	"1"
"CYP3A7"	"0.00391711255934461"	"0.317286117306913"	"0.0222374111268766"	"0.00814438760698096"	"1"
"PAH"	"0.000606189077342677"	"0.0491013152647569"	"0.0141198238251934"	"0.00101078547348288"	"1"
"SERPINC1"	"0.0456613601074606"	"1"	"0.677662506661832"	"0.70354098919262"	"1"
"ANGPTL3"	"0.00858729403169836"	"0.695570816567567"	"0.0909660711020734"	"0.193582237940836"	"1"
"F9"	"0.0128757121112648"	"1"	"0.0506666717000042"	"0.195582461638423"	"1"
"EIF1AY"	"0.0666894120697254"	"1"	"0.853433411652438"	"0.621603425748366"	"0.401405184944427"
"ZIC2"	"0.00813958816182515"	"0.659306641107837"	"0.670796747739404"	"0.562133108296162"	"1"
"ORM1"	"0.067243331544556"	"1"	"0.332562059575062"	"0.408725666640425"	"1"
"ACSM2A"	"0.0485559051599188"	"1"	"0.982964860481309"	"0.917679550331447"	"1"
"ITIH2"	"0.0249229408474608"	"1"	"0.204841939864611"	"0.988004866880503"	"1"
"KNG1"	"0.0173613014284169"	"1"	"0.760173215459887"	"0.809291569868227"	"1"
"ORM1.....ORM2"	"0.00677608516939475"	"0.548862898720975"	"0.392173245299427"	"0.0345612233154838"	"1"
"APOC3"	"0.000398335695802978"	"0.0322651913600412"	"0.335474063001131"	"0.00928785726908368"	"1"
"HRG"	"0.067243331544556"	"1"	"0.953313019047259"	"0.893729474907884"	"1"
"SLC38A4"	"0.0520025881736084"	"1"	"0.710328080047512"	"0.5431795674731"	"1"
"MAGEA6"	"0.00153282696304068"	"0.124158984006295"	"0.149384889443661"	"0.0339633393333347"	"1"
"CXCL6"	"0.0178888238341074"	"1"	"0.537015003878457"	"0.322813928754235"	"1"
"AHSG"	"0.0124315025877476"	"1"	"0.501719741465029"	"0.836428537679937"	"1"
"MAGEA3"	"0.00153282696304068"	"0.124158984006295"	"0.36224010343233"	"0.119881339832804"	"1"
"FDCSP"	"0.0111256499214274"	"0.901177643635621"	"0.743037283822305"	"0.4224992929515"	"0.481929252546366"
"VNN1"	"0.067243331544556"	"1"	"0.813705873984784"	"0.444491832005752"	"1"
"CXCL13"	"0.02294454416861"	"1"	"0.643929127308964"	"0.187533373097783"	"1"
"VIP"	"0.0614303622937672"	"1"	"0.620402726423253"	"0.912204652892717"	"1"
"HP.....HPR"	"0.067243331544556"	"1"	"0.65294770587614"	"0.81749379711276"	"1"
"ADCYAP1"	"0.000231519320805846"	"0.0187530649852735"	"0.0286408228316931"	"0.0219750212368761"	"0.0242773600511622"
"HTR2C"	"0.0244923758272203"	"1"	"0.191478595678872"	"0.0292898624180407"	"1"
"DDX3Y"	"0.26356866360045"	"1"	"0.853433411652438"	"0.376313635134498"	"0.959137348031496"
"TAC1"	"0.000925028281711457"	"0.0749272908186281"	"0.0181257015348844"	"0.0890060429335607"	"1"
"SFRP2"	"0.00255519730965751"	"0.206970982082259"	"0.0202546718624422"	"0.00109388748831563"	"1"
"SERPINA3"	"0.0249229408474608"	"1"	"0.634165705487479"	"0.648723337408441"	"1"
"USP9Y"	"0.0143369630319947"	"1"	"0.253989277615766"	"0.374973276065049"	"0.375504665834207"
